timestamp,item_id,time_since_last_access,frequency_count,time_to_next_request
6,1,4,2,3
9,1,3,3,6
15,1,6,4,7
18,5,18,2,3
21,5,3,3,26
22,1,7,5,21
29,2,13,2,17
30,3,11,2,11
40,9,9,2,13
41,3,11,3,30
43,1,21,6,2
45,1,2,7,3
46,2,17,3,24
47,5,26,4,22
48,1,3,8,9
51,10,50,2,34
53,9,13,3,1
54,9,1,4,146
55,51,21,2,558
57,1,9,9,5
62,1,5,10,1
63,1,1,11,1
64,1,1,12,1
65,1,1,13,1
66,1,1,14,2
67,4,60,2,26
68,1,2,15,4
69,5,22,5,33
70,2,24,4,6
71,3,30,4,23
72,1,4,16,3
75,1,3,17,5
76,2,6,5,28
78,37,5,2,194
80,1,5,18,2
82,1,2,19,10
83,11,27,2,4
85,10,34,3,33
87,11,4,3,10
92,1,10,20,13
93,4,26,3,3
94,3,23,5,5
96,4,3,4,11
97,11,10,4,65
99,3,5,6,9
101,73,84,2,1243
102,5,33,6,1
103,5,1,7,37
104,2,28,6,8
105,1,13,21,1
106,1,1,22,3
107,4,11,5,4
108,3,9,7,25
109,1,3,23,7
111,4,4,6,3
112,2,8,7,5
114,4,3,7,9
115,12,91,2,208
116,1,7,24,6
117,2,5,8,3
118,10,33,4,24
120,2,3,9,62
122,1,6,25,2
123,4,9,8,20
124,1,2,26,3
127,1,3,27,17
129,14,96,2,5
132,25,6,2,41
133,3,25,8,8
134,14,5,3,3
135,6,97,2,1
136,6,1,3,19
137,14,3,4,93
140,5,37,8,11
141,3,8,9,23
142,10,24,5,7
143,4,20,9,5
144,1,17,28,6
148,4,5,10,10
149,10,7,6,196
150,1,6,29,7
151,5,11,9,33
155,6,19,4,10
157,1,7,30,6
158,4,10,11,1
159,4,1,12,29
162,11,65,5,114
163,1,6,31,3
164,3,23,10,39
165,6,10,5,47
166,1,3,32,29
167,47,159,2,346
168,45,55,2,146
171,13,76,2,57
173,25,41,3,156
174,7,164,2,24
177,26,174,2,38
182,2,62,10,12
184,5,33,10,8
185,61,148,2,73
188,4,29,13,2
189,27,150,2,341
190,4,2,14,45
192,5,8,11,76
194,2,12,11,20
195,1,29,33,1
196,1,1,34,5
197,38,192,2,180
198,7,24,3,21
200,9,146,5,25
201,1,5,35,7
203,3,39,11,10
204,70,191,2,1158
208,1,7,36,2
210,1,2,37,1
211,1,1,38,13
212,6,47,6,52
213,3,10,12,4
214,2,20,12,2
215,26,38,3,178
216,2,2,13,16
217,3,4,13,20
219,7,21,4,40
221,17,210,2,57
224,1,13,39,3
225,9,25,6,1
226,9,1,7,63
227,1,3,40,7
228,13,57,3,90
230,14,93,5,41
232,2,16,14,8
233,24,31,2,37
234,1,7,41,2
235,4,45,15,7
236,1,2,42,2
237,3,20,14,44
238,1,2,43,1
239,1,1,44,5
240,2,8,15,26
241,18,36,2,50
242,4,7,16,3
244,1,5,45,8
245,4,3,17,17
249,8,88,2,7
252,1,8,46,1
253,1,1,47,1
254,1,1,48,26
256,8,7,3,5
257,23,136,2,46
258,61,73,3,239
259,7,40,5,72
261,8,5,4,189
262,4,17,18,1
263,4,1,19,50
264,6,52,7,9
266,2,26,16,3
