timestamp,item_id,time_since_last_access,frequency_count,time_to_next_request
0,2484,0,1,10718
1,1019,0,1,507
2,1821,0,1,579
3,3804,0,1,678
4,3636,0,1,9879
5,3274,0,1,1920
6,4217,0,1,680
7,245,0,1,25797
8,620,0,1,17
9,4232,0,1,35
10,4003,0,1,379
11,1030,0,1,320
12,1253,0,1,188
13,3669,0,1,137
14,528,0,1,53
15,1528,0,1,341
16,4961,0,1,791
17,1454,0,1,361
18,1761,0,1,14029
19,742,0,1,450
20,4358,0,1,151
21,1473,0,1,3555
22,2534,0,1,260
23,1386,0,1,575
24,2414,0,1,25980
25,620,17,2,157
26,4247,0,1,726
27,648,0,1,315
28,1637,0,1,5372
29,1651,0,1,275
30,3002,0,1,160
31,3743,0,1,2904
32,2968,0,1,318
33,4935,0,1,524
34,1508,0,1,37341
35,4820,0,1,19009
36,4192,0,1,19749
37,2055,0,1,5524
38,1532,0,1,2459
39,244,0,1,46
40,4148,0,1,300
41,2282,0,1,1045
42,2931,0,1,7
43,3904,0,1,68
44,4232,35,2,302
45,2134,0,1,22315
46,3588,0,1,624
47,3534,0,1,370
48,4468,0,1,4475
49,2931,7,2,883
50,608,0,1,54
51,1114,0,1,168
52,4923,0,1,517
53,197,0,1,41087
54,641,0,1,309
55,3007,0,1,20
56,2249,0,1,1923
57,4621,0,1,621
58,3115,0,1,15872
59,3619,0,1,990
60,2196,0,1,29
61,883,0,1,208
62,3485,0,1,43
63,1252,0,1,66
64,2648,0,1,23465
65,1197,0,1,47
66,3429,0,1,70
67,528,53,2,784
68,3810,0,1,45515
69,3217,0,1,411
70,2023,0,1,79
71,2989,0,1,181
72,2618,0,1,87
73,238,0,1,29
74,1152,0,1,49
75,3007,20,2,960
76,1283,0,1,81
77,2843,0,1,1277
78,62,0,1,59
79,3208,0,1,461
80,1268,0,1,371
81,3128,0,1,908
82,1116,0,1,1922
83,2090,0,1,2834
84,865,0,1,137
85,244,46,2,138
86,437,0,1,75
87,2821,0,1,357
88,299,0,1,250
89,2196,29,2,31
90,1330,0,1,93
91,3056,0,1,25147
92,1303,0,1,363
93,1341,0,1,1060
94,915,0,1,2572
95,3616,0,1,5082
96,771,0,1,948
97,449,0,1,1
98,449,1,2,15
99,640,0,1,4619
100,4387,0,1,167
101,1194,0,1,31
102,238,29,2,50
103,209,0,1,86
104,608,54,2,896
105,3485,43,2,60
106,905,0,1,3830
107,777,0,1,10487
108,1178,0,1,134
109,2369,0,1,318
110,4493,0,1,114
111,3904,68,2,341
112,1197,47,2,198
113,449,15,3,880
114,325,0,1,90
115,4894,0,1,5136
116,1693,0,1,7116
117,330,0,1,234
118,4594,0,1,36
119,4790,0,1,10301
120,2196,31,3,381
121,3836,0,1,4227
122,396,0,1,33018
123,1152,49,2,1032
124,4165,0,1,233
125,4240,0,1,130
126,2350,0,1,18927
127,4120,0,1,512
128,3481,0,1,147
129,1252,66,2,441
130,4328,0,1,447
131,3745,0,1,99
132,1194,31,2,70
133,89,0,1,7764
134,2242,0,1,309
135,4255,0,1,418
136,3429,70,2,28
137,62,59,2,638
138,1522,0,1,5749
139,150,0,1,8
140,3091,0,1,34
141,1071,0,1,53
142,3015,0,1,119
143,4177,0,1,60403
144,1731,0,1,92
145,610,0,1,99
146,4128,0,1,9551
147,150,8,2,1169
148,1267,0,1,116
149,2023,79,2,237
150,3669,137,2,324
151,4933,0,1,366
152,238,50,3,482
153,1263,0,1,64
154,4594,36,2,22
155,4864,0,1,8391
156,563,0,1,11061
157,1283,81,2,454
158,4583,0,1,537
159,2618,87,2,11227
160,1530,0,1,443
161,437,75,2,99
162,1542,0,1,3457
