timestamp,item_id,time_since_last_access,frequency_count,time_to_next_request
0,1,0,1,3
1,82,0,1,1723
2,2909,0,1,66076
3,1,3,2,2
4,24,0,1,85
5,1,2,3,1
6,1,1,4,4
7,13,0,1,238
8,94,0,1,302
9,19,0,1,443
10,1,4,5,3
11,165,0,1,7923
12,289,0,1,3127
13,1,3,6,1
14,1,1,7,11
15,3261169,0,1,0
16,2,0,1,4
17,729643,0,1,0
18,20,0,1,15
19,6001,0,1,0
20,2,4,2,1
21,2,1,3,15
22,26,0,1,156
23,6,0,1,14
24,75,0,1,190
25,1,11,8,4
26,7,0,1,14
27,917,0,1,5134
28,658772,0,1,0
29,1,4,9,3
30,138,0,1,2180
31,57110,0,1,0
32,1,3,10,7
33,20,15,2,45
34,1188,0,1,73919
35,255665,0,1,0
36,2,15,4,13
37,6,14,2,131
38,14,0,1,135
39,1,7,11,3
40,7,14,2,34
41,170,0,1,170
42,1,3,12,10
43,31480,0,1,0
44,46,0,1,1051
45,7210457,0,1,0
46,3,0,1,15
47,9,0,1,62
48,774,0,1,14466
49,2,13,5,8
50,16,0,1,32
51,5836004,0,1,0
52,1,10,13,2
53,10,0,1,87
54,1,2,14,1
55,1,1,15,4
56,6852,0,1,0
57,2,8,6,1
58,2,1,7,14
59,1,4,16,4
60,59,0,1,1417
61,3,15,2,3
62,68,0,1,1362
63,1,4,17,2
64,3,3,3,13
65,1,2,18,4
66,10344327,0,1,0
67,4,0,1,6
68,1432,0,1,64855
69,1,4,19,2
70,4526,0,1,90474
71,1,2,20,4
72,2,14,8,12
73,4,6,2,48
74,7,34,3,16
75,1,4,21,18
76,67,0,1,359
77,3,13,4,27
78,20,45,3,65
79,5,0,1,4
80,265,0,1,1602
81,27,0,1,446
82,16,32,2,16
83,5,4,2,42
84,2,12,9,3
85,2574054,0,1,0
86,216,0,1,10692
87,2,3,10,5
88,4484,0,1,0
89,24,85,2,402
90,7,16,4,62
91,250,0,1,5426
92,2,5,11,14
93,1,18,22,6
94,11,0,1,386
95,625034,0,1,0
96,209,0,1,6820
97,108,0,1,1183
98,16,16,3,52
99,1,6,23,9
100,24638,0,1,0
101,35,0,1,724
102,8,0,1,107
103,105,0,1,3736
104,3,27,5,12
105,116,0,1,789
106,2,14,12,6
107,12,0,1,40
108,1,9,24,10
109,9,62,2,97
110,30,0,1,506
111,39,0,1,22
112,2,6,13,5
113,10474,0,1,0
114,2287,0,1,98615
115,51,0,1,1348
116,3,12,6,45
117,2,5,14,13
118,1,10,25,1
119,1,1,26,1
120,1,1,27,3
121,4,48,3,110
122,129176,0,1,0
123,1,3,28,3
124,64161,0,1,0
125,5,42,3,10
126,1,3,29,2
127,2280,0,1,33407
128,1,2,30,6
129,172904,0,1,0
130,2,13,15,15
131,269959042,0,1,0
132,121283,0,1,0
133,39,22,2,61
134,1,6,31,3
135,5,10,4,39
136,134,0,1,734
137,1,3,32,2
138,127,0,1,514
139,1,2,33,12
140,10,87,2,15
141,34,0,1,519
142,397446491,0,1,0
143,20,65,4,359
144,2954249,0,1,0
145,2,15,16,4
146,371,0,1,9357
147,12,40,2,19
148,40,0,1,557
149,2,4,17,8
150,16,52,4,430
151,1,12,34,3
152,7,62,5,4
153,1032044,0,1,0
154,1,3,35,5
155,10,15,3,49
156,7,4,6,40
157,2,8,18,6
158,621,0,1,5089
159,1,5,36,1
160,1,1,37,4
161,3,45,7,26
162,276,0,1,5603
163,2,6,19,8
164,1,4,38,5
165,386,0,1,5015
166,12,19,3,109
167,934,0,1,49566
168,6,131,3,17
169,1,5,39,6
170,525,0,1,7321
171,2,8,20,11
172,103,0,1,2710
173,14,135,2,511
174,5,39,5,3
175,1,6,40,8
176,48,0,1,151
177,5,3,6,13
178,26,156,2,13
179,358,0,1,300
180,1139,0,1,12178
181,725788,0,1,0
182,2,11,21,6
183,1,8,41,3
184,232612,0,1,0
185,6,17,4,58
186,1,3,42,3
187,3,26,8,15
188,2,6,22,10
189,1,3,43,4
190,5,13,7,37
191,26,13,3,829
192,198900178,0,1,0
193,1,4,44,8
194,39,61,3,1092
195,15092,0,1,0
196,7,40,7,22
197,98,0,1,3900
198,2,10,23,21
199,1051,0,1,8156
200,166,0,1,112
201,1,8,45,2
202,3,15,9,11
203,1,2,46,5
204,10,49,4,224
205,5342421,0,1,0
206,9,97,3,29
207,197,0,1,390
208,1,5,47,2
209,8,107,2,42
210,1,2,48,5
211,170,170,2,1512
212,211306,0,1,0
213,3,11,10,15
214,75,190,2,990
215,1,5,49,1
216,1,1,50,1
