Algorithm,Cache Size,Trace,k,Hit Rate (%),Runtime (s),Avg Latency (us),P50 Latency (us),P90 Latency (us),P99 Latency (us),Memory (MB)
LRU,10,zipf_alpha_1.0.csv,16,13.239999999999998,0.03444934399999511,0.27510169024481,0.2570000106061343,0.3580000793590443,0.6159998520161025,0
LFU,10,zipf_alpha_1.0.csv,16,26.418000000000003,0.0940451240001039,0.8593947697841031,0.9350001164420974,1.1121000397906813,1.9080100582868855,0
ARC,10,zipf_alpha_1.0.csv,16,26.046999999999997,0.06074663300000793,0.5328623798459375,0.5930000952503178,0.7620001269970089,0.985000042419415,0
RL-Hybrid,10,zipf_alpha_1.0.csv,16,28.677000000000003,1.0744451479999952,10.651349599693278,14.534999991155928,15.056999927764991,17.02401004195053,0
LRU,20,zipf_alpha_1.0.csv,16,20.599,0.03219906499998615,0.2542848302255152,0.24600012693554163,0.3170000582031207,0.721999870165746,0
LFU,20,zipf_alpha_1.0.csv,16,33.905,0.08771531899992624,0.800052299609888,0.9049999789567664,1.0829999155248515,1.524010026514583,0
ARC,20,zipf_alpha_1.0.csv,16,33.388,0.05755652200014083,0.5003534097522788,0.5790000159322517,0.7609999101987341,1.0950100158879597,0
RL-Hybrid,20,zipf_alpha_1.0.csv,16,33.410000000000004,1.2222216199998002,12.122221799759245,17.534000107843895,18.57899997048662,20.86506989826372,0
LRU,30,zipf_alpha_1.0.csv,16,25.201,0.03086761800000204,0.23745823054696302,0.23899997358967084,0.3059999471588526,0.731999989511678,0
LFU,30,zipf_alpha_1.0.csv,16,39.361000000000004,0.1529037640000297,1.44682408004428,0.895999846761697,1.055999973686994,1.4039999314263696,0
ARC,30,zipf_alpha_1.0.csv,16,37.534,0.05484106599988081,0.4720822396097901,0.5619999683403876,0.7329999789362773,1.1099998596364458,0
RL-Hybrid,30,zipf_alpha_1.0.csv,16,35.114000000000004,1.1731881090001934,11.628811610030425,17.305000028500217,18.24900004976371,20.21101999162055,0
LRU,50,zipf_alpha_1.0.csv,16,31.122,0.030652757999860114,0.23310816979574156,0.24399992071266752,0.30499995773425326,0.45599995473821764,0
LFU,50,zipf_alpha_1.0.csv,16,43.862,0.07938651999984359,0.7131726498755597,0.8529998467565747,1.0660000953066628,1.354000005449052,0
ARC,50,zipf_alpha_1.0.csv,16,42.764,0.0540003019998494,0.46341488965026656,0.5599999894911889,0.7529999948019395,1.0900100664912262,0
RL-Hybrid,50,zipf_alpha_1.0.csv,16,37.601,1.126215946000002,11.160318049885518,17.10400010779267,18.117999843525467,21.768059898477045,0
LRU,100,zipf_alpha_1.0.csv,16,39.119,0.028809591000026558,0.21587264990102994,0.2320000476174755,0.2910001057898626,0.40500003706256393,0
LFU,100,zipf_alpha_1.0.csv,16,50.072,0.0798882069998399,0.7142102997590882,0.6739999207638903,1.0940000265691197,2.0220102146595256,0
ARC,100,zipf_alpha_1.0.csv,16,49.808,0.049751951999951416,0.41994709020855225,0.4890000582236098,0.734999957785476,0.9899999895424116,0
RL-Hybrid,100,zipf_alpha_1.0.csv,16,41.609,1.1381944130000647,11.272060079963921,17.456000023230445,18.822999891199288,28.229070010183896,0
LRU,200,zipf_alpha_1.0.csv,16,47.329,0.028063667999958852,0.2066790699154808,0.22499989427160472,0.2920000952144619,0.39700012166576926,0
LFU,200,zipf_alpha_1.0.csv,16,56.696000000000005,0.07595602199990026,0.6723472296584987,0.4029998308396898,1.1431001667006115,1.3609999314212473,0
ARC,200,zipf_alpha_1.0.csv,16,56.602,0.045760637000057613,0.38202773998364137,0.20300012693041936,0.7090000053722179,1.021000116452342,0
RL-Hybrid,200,zipf_alpha_1.0.csv,16,47.539,1.052485293000018,10.41643440021744,17.3710000126448,22.354000066115987,28.25799992933753,0
