Algorithm,Cache Size,Trace,k,Hit Rate (%),Runtime (s),Avg Latency (us),P50 Latency (us),P90 Latency (us),P99 Latency (us),Memory (MB)
RL-Hybrid,30,zipf_alpha_1.0.csv,4,29.881,0.8660625889999665,8.556243369746426,11.15899999604153,13.302000070325448,18.36299998103641,0
RL-Hybrid,30,zipf_alpha_1.0.csv,8,32.694,0.967337918000112,9.573646699798246,13.682000144399353,14.552999823536084,16.16201006527262,0
RL-Hybrid,30,zipf_alpha_1.0.csv,16,35.114000000000004,1.1479112600000008,11.382323210373215,16.93400008662138,17.800000023271423,19.70899984598873,0
RL-Hybrid,30,zipf_alpha_1.0.csv,32,36.815,1.619428452999955,16.095205969900235,23.017000103209284,29.682000104003237,37.97702991960249,0
LRU,30,zipf_alpha_0.5.csv,16,0.746,0.03350660000000971,0.26201320014934026,0.2420001692371443,0.31200011108012404,0.7270100422829221,0
RL-Hybrid,30,zipf_alpha_0.5.csv,16,1.207,1.7659084649999386,17.55294140003798,17.552999906911282,18.59199985574378,20.79400996535696,0
LRU,30,zipf_alpha_0.8.csv,16,7.2749999999999995,0.03299605400002292,0.256345299358145,0.23999996301427018,0.3110001216555247,0.7250000635394827,0
RL-Hybrid,30,zipf_alpha_0.8.csv,16,14.248,1.5239012139998067,15.127877539700876,17.310999965047813,18.364000197834685,20.284050128793726,0
LRU,30,zipf_alpha_1.0.csv,16,25.201,0.031343993000064074,0.2403761899518031,0.2409999524388695,0.31200011108012404,0.7390001428575488,0
RL-Hybrid,30,zipf_alpha_1.0.csv,16,35.114000000000004,1.1901865530001032,11.801944329665732,16.976999859252828,18.684999986362527,27.027999979054584,0
LRU,30,zipf_alpha_1.2.csv,16,41.102,0.02962480500013953,0.22355498037995858,0.23999996301427018,0.3119998837064486,0.7239998490149446,0
RL-Hybrid,30,zipf_alpha_1.2.csv,16,49.829,0.9072508070000822,8.978637249979329,16.395999864471378,18.082999986290815,20.070009891242076,0
LRU,30,zipf_alpha_1.5.csv,16,79.928,0.021933467000053497,0.1538165697684235,0.11399993127270136,0.258999989455333,0.39400015339197125,0
RL-Hybrid,30,zipf_alpha_1.5.csv,16,82.741,0.33138524500009225,3.239133810154726,0.2570000106061343,17.353999965052935,18.562009922789,0
LRU,30,uniform.csv,16,0.327,0.03304391400001805,0.2598954696009059,0.23999996301427018,0.3069999365834519,0.7259998278641433,0
RL-Hybrid,30,uniform.csv,16,0.33,1.7499923620000573,17.39383746025851,17.273999901590287,18.275999991601566,20.355010060484343,0
LRU,30,gaussian.csv,16,0.502,0.0327094730000681,0.25700564019189187,0.2379999841650715,0.3000000106112566,0.7180001375672873,0
RL-Hybrid,30,gaussian.csv,16,0.509,1.7754635759999928,17.656732159184685,17.538000065542292,18.43399991230399,21.367020044635854,0
LRU,30,bursty.csv,16,84.586,0.022912499000085518,0.1589528298723053,0.12700002116616815,0.2459998995618662,0.37200015867711045,0
RL-Hybrid,30,bursty.csv,16,84.586,0.30435453499990217,2.965030309978829,0.264999926002929,17.49300008668797,18.549000060374965,0
